event,input,timestamp_msSinceEpoch
Key,7,1621437001143
Button,7,1621437001720
Key,7,1621437002212
Button,7,1621437002853
Key,7,1621437003297
Button,7,1621437003952
Key,7,1621437004559
Button,7,1621437005176
Key,7,1621437005593
Button,7,1621437006180
Key,7,1621437006621
Button,7,1621437007183
Key,Clear,1621437007964
Key,7,1621437009303
Button,7,1621437009916
Key,7,1621437010329
Button,7,1621437010912
Key,7,1621437011366
Button,7,1621437011988
Key,7,1621437012390
Button,7,1621437012964
Key,7,1621437013365
Button,7,1621437013927
Key,7,1621437014385
Button,7,1621437014977
Key,Clear,1621437015936
Key,7,1621437017362
Button,7,1621437017943
Key,7,1621437018412
Button,7,1621437019004
Key,7,1621437019424
Button,7,1621437020033
Key,7,1621437020475
Button,7,1621437021040
Key,7,1621437021480
Button,7,1621437022063
Key,7,1621437022509
Button,7,1621437023537
Key,Clear,1621437025213
Key,7,1621437026043
Button,7,1621437026623
Key,7,1621437027045
Button,7,1621437027624
Key,7,1621437028038
Button,7,1621437028607
Key,7,1621437029007
Button,7,1621437029580
Key,7,1621437029972
Button,7,1621437030577
Key,7,1621437030959
Button,7,1621437031499
Key,Clear,1621437032353
Key,7,1621437033102
Button,7,1621437033689
Key,7,1621437034119
Button,7,1621437034681
Key,7,1621437035097
Button,7,1621437035656
Key,7,1621437036068
Button,7,1621437036631
Key,7,1621437037016
Button,7,1621437037585
Key,7,1621437037966
Button,7,1621437038516
Key,Clear,1621437039317
